"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.890412410E1,-1.770363808E0,6.919575930E-1,2.441857576E0
4.893269553E1,-1.677512288E0,7.903069258E-1,1.835879087E0
4.896126696E1,-1.387351274E0,1.301601171E0,1.234787703E0
4.898983838E1,-9.511935711E-1,1.602757692E0,5.170210600E-1
4.901840981E1,2.924517356E-2,1.242958069E0,-6.882160306E-1
4.904698124E1,1.456837296E0,-8.535314798E-1,-9.631054401E-1
4.907555267E1,2.840446949E0,-1.788766146E0,-1.159193158E0
4.910412410E1,2.029828787E0,-5.267185569E-1,-1.908724785E0
4.913269552E1,1.874669075E0,-1.920102239E0,-2.787072770E-2
4.916126695E1,8.856782317E-1,-2.897486687E0,2.832887508E-2
4.918983838E1,-1.582904607E-1,3.362049580E0,7.839691639E-1
4.921840981E1,-1.343369007E0,-1.617112994E0,2.094275236E0
4.924698124E1,7.977136374E-1,-3.242625475E0,-8.470410109E-1
4.927555266E1,1.436678648E0,-1.932930350E0,-3.514689445E0
4.930412409E1,8.649088144E-1,-9.506590366E-1,1.596648991E-1
4.933269552E1,1.060385704E0,-1.332449794E0,-3.815616965E-1
4.936126695E1,1.548467040E0,-2.152230978E0,-1.351615667E0
4.938983838E1,2.066480875E0,-3.551723242E0,-1.501888514E0
4.941840980E1,1.506928205E0,-2.880382299E0,-1.347950578E0
4.944698123E1,1.411022305E0,-2.663525105E0,-1.256320715E0
4.947555266E1,1.232649684E0,-2.166280985E0,-1.173853874E0
4.950412409E1,6.627124548E-1,-2.243860722E0,-7.792350054E-1
4.953269552E1,-3.488804102E-1,-2.168113470E0,-2.435061634E-1
4.956126694E1,-1.303662777E0,-1.589013219E0,7.503715754E-1
4.958983837E1,-1.869323969E0,-9.952521920E-1,1.458364367E0
4.961840980E1,-2.431319952E0,-1.678199530E0,2.085112095E0
4.964698123E1,-2.164982796E0,1.191034555E0,2.569528341E0
4.967555266E1,-7.654905319E-1,4.616613984E-1,3.288516760E0
4.970412408E1,-1.790522337E0,1.540449381E0,2.874350071E0
4.973269551E1,-2.055637836E0,9.876163602E-1,2.350227594E0
4.976126694E1,-1.612149715E0,7.542658448E-1,1.989817142E0
4.978983837E1,-1.215698242E0,1.491580248E0,1.601917744E0
4.981840980E1,-1.206535220E0,2.079232693E0,1.031980515E0
4.984698122E1,-6.268240809E-1,1.440267563E0,1.095739529E-1
4.987555265E1,4.898375571E-1,5.905539989E-1,-8.171086311E-1
4.990412408E1,1.521588922E0,-6.550002694E-1,-1.376050353E0
4.993269551E1,1.800754428E0,-7.551821470E-1,-1.843362212E0
4.996126694E1,1.378646493E0,-7.973318696E-1,-1.643609285E0
4.998983836E1,2.232025146E0,-3.504075766E0,6.620252132E-2
5.001840979E1,2.809216678E-1,-3.894418716E0,2.934443951E-1
5.004698122E1,-9.725738168E-1,1.253342748E0,7.961865067E-1
5.007555265E1,-1.046106778E-2,-2.243860722E0,2.081446886E0
5.010412408E1,1.467221975E0,-1.805870414E0,-2.300900221E0
5.013269550E1,8.441393971E-1,-4.980078936E-1,-2.037617445E0
5.016126693E1,8.252025843E-1,-1.884061098E0,-8.348237276E-1
5.018983836E1,1.554575682E0,-1.663538814E0,-5.703190565E-1
5.021840979E1,1.729283094E0,-2.282345295E0,-1.340009332E0
5.024698122E1,1.710346341E0,-2.859002113E0,-1.133536816E0
5.027555264E1,1.356044531E0,-2.742937565E0,-1.087721944E0
5.030412407E1,1.202106476E0,-2.599995136E0,-9.569967389E-1
5.033269550E1,9.168323874E-1,-2.518750191E0,-1.045572281E0
5.036126693E1,2.974150181E-1,-2.414902925E0,-9.124035835E-1
5.038983836E1,-5.132031441E-1,-1.931708574E0,-3.302490115E-1
5.041840978E1,-1.623145342E0,-1.464396715E0,8.041277528E-1
5.044698121E1,-2.322586060E0,-1.187674761E0,1.743638515E0
5.047555264E1,-2.491795778E0,-6.592763066E-1,2.537763357E0
5.050412407E1,-1.047099352E0,4.011857510E-1,3.209715128E0
5.053269550E1,-1.585271716E0,4.763221741E-1,2.938490868E0
5.056126692E1,-1.638416886E0,-3.863722831E-2,2.364277601E0
5.058983835E1,-1.495474458E0,-2.585487068E-1,2.248213291E0
5.061840978E1,-1.579773903E0,4.054618180E-1,1.588478684E0
5.064698121E1,-1.722716331E0,1.021824837E0,1.320919752E0
