"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.429155515E0,6.437755823E-1,2.069306076E-1,-2.832123935E-1
3.439155515E0,6.938665509E-1,1.769981980E-1,-2.893210649E-1
3.449155515E0,6.785949469E-1,1.629483104E-1,-3.064252734E-1
3.459155515E0,6.285039783E-1,7.131851465E-2,-3.021492362E-1
3.469155515E0,5.747478604E-1,-1.394299865E-1,-2.783254683E-1
3.479155515E0,5.539784431E-1,-4.192062616E-1,-2.520582676E-1
3.489155515E0,5.778021812E-1,-6.959282160E-1,-2.813797891E-1
3.499155515E0,6.303365827E-1,-9.152288437E-1,-3.950007260E-1
3.509155515E0,7.128033638E-1,-1.047175765E0,-4.994587004E-1
3.519155548E0,8.288677931E-1,-9.146180153E-1,-4.493677318E-1
3.529155548E0,9.223301411E-1,-3.746131063E-1,-2.880993187E-1
3.539155548E0,9.950231314E-1,4.708243906E-1,-2.764928937E-1
3.549155548E0,9.229410291E-1,1.206306100E0,-3.271946907E-1
3.559155581E0,6.498842835E-1,1.614364147E0,-3.614031374E-1
3.569155581E0,3.249039650E-1,1.549001575E0,-4.200462103E-1
3.579155581E0,1.349248588E-1,1.059698462E0,-5.098434091E-1
3.589155581E0,1.251510233E-1,3.022255898E-1,-5.764276981E-1
3.599155581E0,1.947896481E-1,-5.273294449E-1,-5.098434091E-1
3.609155547E0,2.332741618E-1,-1.270141602E0,-2.874884605E-1
3.619155547E0,2.088395506E-1,-1.716684103E0,-5.474879593E-2
3.629155547E0,1.361465901E-1,-1.702023268E0,-1.146135926E-1
3.639155547E0,5.421428941E-3,-1.370934367E0,-3.546836376E-1
3.649155547E0,-1.753946841E-1,-9.066767693E-1,-6.136904955E-1
3.659155547E0,-3.806453943E-1,-3.306308091E-1,-9.062949419E-1
3.669155547E0,-4.985423982E-1,6.070473194E-1,-1.113378286E0
3.679155547E0,-4.460079968E-1,1.839773417E0,-1.077948093E0
3.689155547E0,-2.413681298E-1,2.933222294E0,-8.006152511E-1
3.699155547E0,9.460775554E-2,3.710242748E0,-5.067890882E-1
3.709155547E0,6.633232832E-1,3.811646461E0,-3.638466001E-1
3.719155547E0,1.500819564E0,2.553874969E0,-3.748421967E-1
3.729155547E0,1.960801125E0,3.822489381E-1,-2.734385431E-1
3.739155547E0,1.712789774E0,-1.419192672E0,8.170322515E-3
3.749155547E0,1.143463373E0,-2.361757755E0,2.201405615E-1
3.759155547E0,6.602689624E-1,-2.776535273E0,2.958878577E-1
3.769155547E0,4.464661479E-1,-3.006831408E0,2.635119855E-1
3.779155547E0,4.880049825E-1,-3.037985563E0,1.651626974E-1
3.789155547E0,6.462190747E-1,-2.792417765E0,1.046870351E-1
